HASTUS_ID,TRANSLINK_ID,DESCRIPTION,STREET_NAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
1797,303581,University of Queensland - Zone D,Chancellors Pl,Mansfield Pl,"501,100.20","6,958,407.60",-27.497974,153.011139,ST LUCIA, , ,Medium, , ,12/04/2007 0:00
1798,303582,University of Queensland - Zone C,Chancellors Pl,Mansfield Pl,"501,096.60","6,958,389.30",-27.498139,153.011102,ST LUCIA, , ,Medium, , ,12/04/2007 0:00
1799,303583,University of Queensland - Zone B,Chancellors Pl,Mansfield Pl,"501,093.20","6,958,371.30",-27.498301,153.011068,ST LUCIA, , ,, , ,12/04/2007 0:00
1801,303579,University of Queensland - Zone A,Chancellors Pl,Mansfield Pl,"501,090.10","6,958,355.10",-27.498448,153.011036,ST LUCIA, , ,Medium, , ,12/04/2007 0:00
1802,303580,University of Queensland - Zone E,Chancellors Pl,Mansfield Pl,"501,103.30","6,958,427.00",-27.497798,153.01117,ST LUCIA, , ,Medium, , ,12/04/2007 0:00
1803,303587,Field Street - 23,Coldridge St,Sir Fred Schonell Dr,"500,624.30","6,958,769.90",-27.494703,153.00632,ST LUCIA,Intermediate,Y,,Easy,Easy,12/04/2007 0:00
1805,303588,Coldridge Street  Coldridge Street,Coldridge St,Carmody Rd,"500,668.60","6,958,462.30",-27.49748,153.006769,ST LUCIA,Regular,N,Hard,Easy,Medium,12/04/2007 0:00
1807,303584,Acacia Park,Carmody Rd,Boomerang Rd,"500,813.70","6,958,345.70",-27.498533,153.008238,ST LUCIA,Intermediate,Y,Medium,Hard,Hard,12/04/2007 0:00
1809,303595,Upland Road - 32,Hawken Dr,Carmody Rd,"501,044.50","6,958,271.30",-27.499204,153.010575,ST LUCIA,Regular with seat,Y,,Medium,Hard,12/04/2007 0:00
1810,303666,Upland Road - 32,Hawken Dr,Carmody Rd,"501,044.40","6,958,289.70",-27.499038,153.010574,ST LUCIA,Regular with seat,Y,Medium,Easy,Medium,12/04/2007 0:00
1811,303665,Picardy Street - 31,Hawken Dr,Picardy St,"500,937.50","6,958,198.00",-27.499866,153.009491,ST LUCIA,Regular with seat,Y,Medium,Medium,Hard,12/04/2007 0:00
1812,303596,Picardy Street - 31,Hawken Dr,Picardy St,"500,903.40","6,958,150.50",-27.500295,153.009146,ST LUCIA,Regular,Y,Medium,Easy,Medium,12/04/2007 0:00
1813,303597,Hawken Village - 30,Hawken Dr,Boomerang Rd,"500,650.40","6,957,954.50",-27.502064,153.006585,ST LUCIA,Intermediate,Y,Medium,Medium,Easy,12/04/2007 0:00
1814,303603,Hawken Village - 30,Hawken Dr,Boomerang Rd,"500,656.30","6,957,973.60",-27.501892,153.006645,ST LUCIA,Regular with seat,Y,,Medium,Easy,12/04/2007 0:00
1815,303604,St Lucia South  Boomerang Road West,Boomerang Rd,Hawken Dr,"500,680.00","6,958,015.10",-27.501517,153.006885,ST LUCIA,Intermediate,N,Hard,Hard,Hard,12/04/2007 0:00
1817,303598,Hawken Divide - 29,Hawken Dr,Highland Tce,"500,412.40","6,957,755.80",-27.503858,153.004175,ST LUCIA,Regular with seat,N,Medium,Hard,Hard,12/04/2007 0:00
1820,303664,Highland Terrace - 28,Hawken Dr,Highland Tce,"500,197.80","6,957,699.10",-27.50437,153.002003,ST LUCIA,Regular,Y,Medium,Easy,Easy,12/04/2007 0:00
1821,303600,Tarcoola Street - 27,Hawken Dr,Tarcoola St,"500,103.60","6,957,646.60",-27.504844,153.001049,ST LUCIA,Regular with seat,N,Medium,Easy,Medium,12/04/2007 0:00
1825,303605,Hawken Shops - 25,Hawken Dr,Highland Tce,"499,694.00","6,957,930.50",-27.502281,152.996902,ST LUCIA,Intermediate,Y,Medium,Medium,Easy,12/04/2007 0:00
1826,303661,Hawken Shops - 25,Hawken Dr,Highland Tce,"499,772.30","6,957,912.50",-27.502444,152.997695,ST LUCIA,Regular with seat,Y,Medium,Hard,Easy,12/04/2007 0:00
1827,303606,Ironside School - 23/24,Hawken Dr,Central Av,"499,603.80","6,958,047.60",-27.501224,152.995989,ST LUCIA,Intermediate,Y,Medium,Hard,Hard,12/04/2007 0:00
1828,303660,Ironside School - 23/24,Swann Rd,Hawken Dr,"499,570.30","6,958,129.80",-27.500482,152.99565,ST LUCIA,Intermediate,Y,,Hard,Easy,12/04/2007 0:00
1832,303608,Bonvale Lane - 21,Swann Rd,Indooroopilly Rd,"499,132.00","6,958,431.60",-27.497757,152.991212,ST LUCIA,Intermediate,Y,,Hard,Easy,12/04/2007 0:00
1833,303658,Bonvale Lane - 21,Swann Rd,Indooroopilly Rd,"499,134.80","6,958,452.10",-27.497572,152.991241,ST LUCIA,Intermediate,Y,,Hard,Easy,12/04/2007 0:00
1834,303609,Gailey Fiveways - 20,Gailey Rd,Swann Rd,"499,072.00","6,958,497.80",-27.497159,152.990605,TARINGA,Intermediate,Y,,Hard,Medium,12/04/2007 0:00
1835,303615,Gailey North - 19,Gailey Rd,Swann Rd,"499,126.20","6,958,564.80",-27.496555,152.991154,TARINGA,Regular,Y,Medium,Easy,Medium,12/04/2007 0:00
1836,303610,Gailey North - 19,Gailey Rd,Highview Tce,"499,136.00","6,958,610.20",-27.496145,152.991253,TARINGA,Regular with seat,Y,Medium,Easy,Easy,12/04/2007 0:00
1837,303611,Gailey Park - 18,Gailey Rd,Prospect Tce,"499,315.00","6,958,911.10",-27.493428,152.993065,TARINGA,Intermediate,Y,Medium,Easy, ,12/04/2007 0:00
1838,303614,Gailey Park - 18,Gailey Rd,Prospect Tce,"499,281.10","6,958,826.90",-27.494188,152.992722,TARINGA,Regular with seat,Y,Medium, ,Hard,30/05/2011 0:00
1839,303612,Gailey/SFSD - 17,Gailey Rd,Sir Fred Schonell Dr,"499,385.60","6,959,032.20",-27.492335,152.99378,TOOWONG,Intermediate,Y,Hard,Medium,Hard,12/04/2007 0:00
1840,303613,Gailey/SFSD - 17,Gailey Rd,Bellevue Tce,"499,385.20","6,959,002.90",-27.4926,152.993776,TARINGA,Intermediate,Y,,Medium,Medium,12/04/2007 0:00
1841,303573,Gailey Road  Sir Fred Schonell Drive,Sir Fred Schonell Dr,Glenolive La,"499,502.80","6,959,025.30",-27.492397,152.994967,ST LUCIA,Regular with seat,N,,Medium,Hard,12/04/2007 0:00
1842,303673,Gailey Road  Sir Fred Schonell Drive,Sir Fred Schonell Dr,Gailey Rd,"499,477.00","6,959,025.20",-27.492398,152.994705,ST LUCIA,Intermediate,Y,Medium,Hard,Hard,12/04/2007 0:00
1843,303574,Austral Street - 18,Sir Fred Schonell Dr,Australl St,"499,668.20","6,958,925.00",-27.493303,152.996641,ST LUCIA,Regular with seat,N,,Hard,Easy,12/04/2007 0:00
1844,303672,Austral Street - 18,Sir Fred Schonell Dr,Douglas St,"499,602.70","6,958,947.90",-27.493096,152.995978,ST LUCIA,Regular with seat,N,,Medium,Easy,12/04/2007 0:00
1845,303575,St Lucia West  Sir Fred Schonell Drive,Sir Fred Schonell Dr,Ryans Rd,"499,760.90","6,958,869.70",-27.493802,152.997579,ST LUCIA,Intermediate,Y,,Medium,Medium,12/04/2007 0:00
1847,303576,Guyatt Park - 20,Sir Fred Schonell Dr,Raven St,"499,974.10","6,958,806.70",-27.494371,152.999738,ST LUCIA,Regular,N,,Easy,Hard,12/04/2007 0:00
1848,303670,Guyatt Park - 20,Sir Fred Schonell Dr,Raven St,"500,041.10","6,958,778.70",-27.494624,153.000416,ST LUCIA,Regular,N,,Hard,Medium,12/04/2007 0:00
1849,303577,St Lucia Ferry  Sir Fred Schonell Drive,Sir Fred Schonell Dr,Laurence St,"500,302.80","6,958,822.00",-27.494233,153.003065,ST LUCIA,Intermediate,Y,Medium,Medium,Easy,6/07/2012 0:00
1850,303668,St Lucia Ferry  Sir Fred Schonell Drive,Sir Fred Schonell Dr,Mitre St,"500,308.00","6,958,808.80",-27.494352,153.003118,ST LUCIA,Intermediate,N,Medium,Medium,Hard,12/04/2007 0:00
1851,303578,Warren Street - 22,Sir Fred Schonell Dr,Warren St,"500,476.50","6,958,851.40",-27.493967,153.004824,ST LUCIA,Intermediate,Y,,Easy,Easy,12/04/2007 0:00
1853,304131,UQ Lakes - Zone A,College Rd,UQ Lakes Bus Station,"501,745.50","6,958,401.40",-27.498029,153.017672,ST LUCIA, , ,Medium, , ,2/05/2007 0:00
1854,303674,Brisbane Street - 16,Gailey Rd,Herbert St,"499,379.30","6,959,302.00",-27.489899,152.993716,TOOWONG,Intermediate,Y,Medium,Easy,Easy,30/07/2008 0:00
1855,303572,Brisbane Street - 16,Gailey Rd,Sandford St,"499,453.50","6,959,176.60",-27.491031,152.994468,TARINGA,Regular with seat,Y,Hard,Easy,Easy,20/07/2012 0:00
1857,303859,Josling Street - 16,Josling St,Herbert St,"499,324.10","6,959,290.70",-27.490001,152.993158,TOOWONG,Regular with seat,Y,,Easy,Hard,20/12/2010 0:00
1858,303879,Mayne Street - 17,Josling St,Mayne St,"499,124.80","6,959,184.30",-27.490962,152.99114,TOOWONG,Regular with seat,N,Medium,Hard, ,18/04/2007 0:00
1860,303878,Perrin Park - 18,Josling St,Burns Rd,"499,009.90","6,959,158.00",-27.491199,152.989977,TOOWONG,Regular,Y,Medium,Hard,Easy,18/04/2007 0:00
1863,303877,Bellevue/Burns - 19,Bellevue Pde,Alpha St,"498,957.20","6,958,981.60",-27.492792,152.989443,TARINGA,Regular with seat,N,Easy,Hard,Hard,18/04/2007 0:00
1864,303876,Bellevue Parade - 21/20,Bellevue Pde,Oxford Tce,"499,020.20","6,958,827.70",-27.494181,152.990081,TARINGA,Intermediate,Y,Hard,Hard, ,28/06/2011 0:00
1865,303863,Bellevue Parade - 20/21,Bellevue Pde,Indooroopilly Rd,"499,022.50","6,958,860.90",-27.493881,152.990104,TARINGA,Regular,Y,Medium,Hard,Easy,19/03/2012 0:00
1868,303867,Sundridge Street - 23,Westerham St,Whitmore St,"498,684.90","6,958,722.20",-27.495133,152.986686,TARINGA,Intermediate,Y,Medium,Medium,Medium,18/04/2007 0:00
1869,303875,Westerham Street - 22,Westerham St,Indooroopilly Rd,"498,924.10","6,958,683.60",-27.495482,152.989108,TARINGA,Intermediate,Y,Medium, ,Easy,30/05/2011 0:00
1873,303871,Norman Street - 24,Whitmore St,Norman St,"498,607.50","6,958,634.60",-27.495924,152.985902,TARINGA,Regular with seat,Y,Medium,Hard,Hard,18/04/2007 0:00
1877,304132,UQ Lakes - Zone B,College Rd,UQ Lakes Bus Station,"501,760.50","6,958,400.50",-27.498037,153.017823,ST LUCIA, , ,Medium, , ,2/05/2007 0:00
1878,304133,UQ Lakes - Zone C,College Rd,UQ Lakes Bus Station,"501,772.50","6,958,399.80",-27.498043,153.017945,ST LUCIA, , ,, , ,2/05/2007 0:00
1880,307427,UQ Lakes - Zone D,College Rd,UQ Lakes Bus Station,"501,803.90","6,958,434.00",-27.497734,153.018263,ST LUCIA, , ,Medium, , ,12/11/2008 0:00
1881,303797,Sherwood - Jephson - 15/22,Sherwood Rd,Jephson St,"499,138.30","6,959,789.40",-27.485499,152.991277,TOOWONG,Intermediate,Y,Hard,Easy,Medium,6/07/2012 0:00
1886,303895,Toowong  High Street,High St,Sherwood Rd,"499,184.20","6,959,706.40",-27.486248,152.991742,TOOWONG,Intermediate,N,,Easy,Easy,18/04/2007 0:00
1891,303675,Toowong  Benson Street,Benson St,Glen Rd,"499,307.20","6,959,659.00",-27.486676,152.992987,TOOWONG,Intermediate,N,Medium,Medium,Easy,12/04/2007 0:00
1899,303802,Quinn Street - 17,Ascog Tce,Quinn St,"498,800.80","6,960,143.30",-27.482304,152.987861,TOOWONG,Intermediate,Y,Hard,Easy,Medium,20/07/2012 0:00
1900,303782,Quinn Street - 17,Ascog Tce,Okeden St,"498,774.70","6,960,135.40",-27.482375,152.987597,TOOWONG,Regular,Y,Medium,Easy,Easy,20/07/2012 0:00
